feature-extraction,run#,epoch,state,AMI,ARI,NMI
doc2vec,6,130,16,0.000374,0.000305,0.000402
doc2vec,6,145,18,0.000373,0.000304,0.000400
doc2vec,6,160,20,0.000374,0.000305,0.000402
doc2vec,6,175,22,0.000374,0.000306,0.000402
doc2vec,6,190,24,0.000374,0.000306,0.000402
doc2vec,6,205,26,0.000380,0.000311,0.000407
doc2vec,6,220,28,0.000372,0.000304,0.000399
doc2vec,6,235,30,0.000375,0.000306,0.000402
doc2vec,6,250,32,0.000375,0.000306,0.000402
doc2vec,6,265,34,0.000374,0.000305,0.000402
doc2vec,6,280,36,0.000380,0.000311,0.000407
doc2vec,6,295,38,0.000380,0.000311,0.000407
doc2vec,7,25,2,0.000374,0.000305,0.000401
doc2vec,7,40,4,0.000380,0.000311,0.000407
doc2vec,7,55,6,0.000380,0.000311,0.000407
doc2vec,7,70,8,0.000373,0.000304,0.000400
doc2vec,7,85,10,0.000374,0.000306,0.000402
doc2vec,7,100,12,0.000374,0.000305,0.000402
doc2vec,7,115,14,0.000374,0.000305,0.000402
doc2vec,7,130,16,0.000374,0.000305,0.000402
doc2vec,7,145,18,0.000373,0.000304,0.000400
doc2vec,7,160,20,0.000374,0.000305,0.000402
doc2vec,7,175,22,0.000374,0.000306,0.000402
doc2vec,7,190,24,0.000374,0.000306,0.000402
doc2vec,7,205,26,0.000380,0.000311,0.000407
doc2vec,7,220,28,0.000372,0.000304,0.000399
doc2vec,7,235,30,0.000375,0.000306,0.000402
doc2vec,7,250,32,0.000375,0.000306,0.000402
doc2vec,7,265,34,0.000374,0.000305,0.000402
doc2vec,7,280,36,0.000380,0.000311,0.000407
doc2vec,7,295,38,0.000380,0.000311,0.000407
doc2vec,8,25,2,0.000374,0.000305,0.000401
doc2vec,8,40,4,0.000380,0.000311,0.000407
doc2vec,8,55,6,0.000380,0.000311,0.000407
doc2vec,8,70,8,0.000373,0.000304,0.000400
doc2vec,8,85,10,0.000374,0.000306,0.000402
doc2vec,8,100,12,0.000374,0.000305,0.000402
doc2vec,8,115,14,0.000374,0.000305,0.000402
doc2vec,8,130,16,0.000374,0.000305,0.000402
doc2vec,8,145,18,0.000373,0.000304,0.000400
doc2vec,8,160,20,0.000374,0.000305,0.000402
doc2vec,8,175,22,0.000374,0.000306,0.000402
doc2vec,8,190,24,0.000374,0.000306,0.000402
doc2vec,8,205,26,0.000380,0.000311,0.000407
doc2vec,8,220,28,0.000372,0.000304,0.000399
doc2vec,8,235,30,0.000375,0.000306,0.000402
doc2vec,8,250,32,0.000375,0.000306,0.000402
doc2vec,8,265,34,0.000374,0.000305,0.000402
doc2vec,8,280,36,0.000380,0.000311,0.000407
doc2vec,8,295,38,0.000380,0.000311,0.000407
doc2vec,9,25,2,0.000374,0.000305,0.000401
doc2vec,9,40,4,0.000380,0.000311,0.000407
doc2vec,9,55,6,0.000380,0.000311,0.000407
doc2vec,9,70,8,0.000373,0.000304,0.000400
doc2vec,9,85,10,0.000374,0.000306,0.000402
doc2vec,9,100,12,0.000374,0.000305,0.000402
doc2vec,9,115,14,0.000374,0.000305,0.000402
doc2vec,9,130,16,0.000374,0.000305,0.000402
doc2vec,9,145,18,0.000373,0.000304,0.000400
doc2vec,9,160,20,0.000374,0.000305,0.000402
doc2vec,9,175,22,0.000374,0.000306,0.000402
doc2vec,9,190,24,0.000374,0.000306,0.000402
doc2vec,9,205,26,0.000380,0.000311,0.000407
doc2vec,9,220,28,0.000372,0.000304,0.000399
doc2vec,9,235,30,0.000375,0.000306,0.000402
doc2vec,9,250,32,0.000375,0.000306,0.000402
doc2vec,9,265,34,0.000374,0.000305,0.000402
doc2vec,9,280,36,0.000380,0.000311,0.000407
doc2vec,9,295,38,0.000380,0.000311,0.000407
doc2vec,10,25,2,0.000374,0.000305,0.000401
doc2vec,10,40,4,0.000380,0.000311,0.000407
doc2vec,10,55,6,0.000380,0.000311,0.000407
doc2vec,10,70,8,0.000373,0.000304,0.000400
doc2vec,10,85,10,0.000374,0.000306,0.000402
doc2vec,10,100,12,0.000374,0.000305,0.000402
doc2vec,10,115,14,0.000374,0.000305,0.000402
doc2vec,10,130,16,0.000374,0.000305,0.000402
doc2vec,10,145,18,0.000373,0.000304,0.000400
doc2vec,10,160,20,0.000374,0.000305,0.000402
doc2vec,10,175,22,0.000374,0.000306,0.000402
doc2vec,10,190,24,0.000374,0.000306,0.000402
doc2vec,10,205,26,0.000380,0.000311,0.000407
doc2vec,10,220,28,0.000372,0.000304,0.000399
doc2vec,10,235,30,0.000375,0.000306,0.000402
doc2vec,10,250,32,0.000375,0.000306,0.000402
doc2vec,10,265,34,0.000374,0.000305,0.000402
doc2vec,10,280,36,0.000380,0.000311,0.000407
doc2vec,10,295,38,0.000380,0.000311,0.000407
doc2vec,11,25,2,0.000374,0.000305,0.000401
doc2vec,11,40,4,0.000380,0.000311,0.000407
doc2vec,11,55,6,0.000380,0.000311,0.000407
doc2vec,11,70,8,0.000373,0.000304,0.000400
doc2vec,11,85,10,0.000374,0.000306,0.000402
doc2vec,11,100,12,0.000374,0.000305,0.000402
doc2vec,11,115,14,0.000374,0.000305,0.000402
doc2vec,11,130,16,0.000374,0.000305,0.000402
