feature-extraction,run#,epoch,state,AMI,ARI,NMI
SBERT,6,190,24,0.518636,0.547244,0.518649
SBERT,6,205,26,0.518672,0.547556,0.518685
SBERT,6,220,28,0.518704,0.547527,0.518717
SBERT,6,235,30,0.518723,0.547510,0.518737
SBERT,6,250,32,0.518679,0.547537,0.518692
SBERT,6,265,34,0.518956,0.548140,0.518969
SBERT,6,280,36,0.518172,0.547624,0.518185
SBERT,6,295,38,0.518653,0.547536,0.518666
SBERT,7,25,2,0.518000,0.547854,0.518013
SBERT,7,40,4,0.518584,0.547146,0.518597
SBERT,7,55,6,0.518649,0.547506,0.518662
SBERT,7,70,8,0.518672,0.547556,0.518685
SBERT,7,85,10,0.518623,0.547216,0.518636
SBERT,7,100,12,0.518867,0.547944,0.518880
SBERT,7,115,14,0.518602,0.547204,0.518615
SBERT,7,130,16,0.518810,0.547817,0.518824
SBERT,7,145,18,0.518673,0.547558,0.518686
SBERT,7,160,20,0.518892,0.548074,0.518905
SBERT,7,175,22,0.518701,0.547433,0.518714
SBERT,7,190,24,0.518636,0.547244,0.518649
SBERT,7,205,26,0.518672,0.547556,0.518685
SBERT,7,220,28,0.518704,0.547527,0.518717
SBERT,7,235,30,0.518723,0.547510,0.518737
SBERT,7,250,32,0.518679,0.547537,0.518692
SBERT,7,265,34,0.518956,0.548140,0.518969
SBERT,7,280,36,0.518172,0.547624,0.518185
SBERT,7,295,38,0.518653,0.547536,0.518666
SBERT,8,25,2,0.518000,0.547854,0.518013
SBERT,8,40,4,0.518584,0.547146,0.518597
SBERT,8,55,6,0.518649,0.547506,0.518662
SBERT,8,70,8,0.518672,0.547556,0.518685
SBERT,8,85,10,0.518623,0.547216,0.518636
SBERT,8,100,12,0.518867,0.547944,0.518880
SBERT,8,115,14,0.518602,0.547204,0.518615
SBERT,8,130,16,0.518810,0.547817,0.518824
SBERT,8,145,18,0.518673,0.547558,0.518686
SBERT,8,160,20,0.518892,0.548074,0.518905
SBERT,8,175,22,0.518701,0.547433,0.518714
SBERT,8,190,24,0.518636,0.547244,0.518649
SBERT,8,205,26,0.518672,0.547556,0.518685
SBERT,8,220,28,0.518704,0.547527,0.518717
SBERT,8,235,30,0.518723,0.547510,0.518737
SBERT,8,250,32,0.518679,0.547537,0.518692
SBERT,8,265,34,0.518956,0.548140,0.518969
SBERT,8,280,36,0.518172,0.547624,0.518185
SBERT,8,295,38,0.518653,0.547536,0.518666
SBERT,9,25,2,0.518000,0.547854,0.518013
SBERT,9,40,4,0.518584,0.547146,0.518597
SBERT,9,55,6,0.518649,0.547506,0.518662
SBERT,9,70,8,0.518672,0.547556,0.518685
SBERT,9,85,10,0.518623,0.547216,0.518636
SBERT,9,100,12,0.518867,0.547944,0.518880
SBERT,9,115,14,0.518602,0.547204,0.518615
SBERT,9,130,16,0.518810,0.547817,0.518824
SBERT,9,145,18,0.518673,0.547558,0.518686
SBERT,9,160,20,0.518892,0.548074,0.518905
SBERT,9,175,22,0.518701,0.547433,0.518714
SBERT,9,190,24,0.518636,0.547244,0.518649
SBERT,9,205,26,0.518672,0.547556,0.518685
SBERT,9,220,28,0.518704,0.547527,0.518717
SBERT,9,235,30,0.518723,0.547510,0.518737
SBERT,9,250,32,0.518679,0.547537,0.518692
SBERT,9,265,34,0.518956,0.548140,0.518969
SBERT,9,280,36,0.518172,0.547624,0.518185
SBERT,9,295,38,0.518653,0.547536,0.518666
SBERT,10,25,2,0.518000,0.547854,0.518013
SBERT,10,40,4,0.518584,0.547146,0.518597
SBERT,10,55,6,0.518649,0.547506,0.518662
SBERT,10,70,8,0.518672,0.547556,0.518685
SBERT,10,85,10,0.518623,0.547216,0.518636
SBERT,10,100,12,0.518867,0.547944,0.518880
SBERT,10,115,14,0.518602,0.547204,0.518615
SBERT,10,130,16,0.518810,0.547817,0.518824
SBERT,10,145,18,0.518673,0.547558,0.518686
SBERT,10,160,20,0.518892,0.548074,0.518905
SBERT,10,175,22,0.518701,0.547433,0.518714
SBERT,10,190,24,0.518636,0.547244,0.518649
SBERT,10,205,26,0.518672,0.547556,0.518685
SBERT,10,220,28,0.518704,0.547527,0.518717
SBERT,10,235,30,0.518723,0.547510,0.518737
SBERT,10,250,32,0.518679,0.547537,0.518692
SBERT,10,265,34,0.518956,0.548140,0.518969
SBERT,10,280,36,0.518172,0.547624,0.518185
SBERT,10,295,38,0.518653,0.547536,0.518666
SBERT,11,25,2,0.518000,0.547854,0.518013
SBERT,11,40,4,0.518584,0.547146,0.518597
SBERT,11,55,6,0.518649,0.547506,0.518662
SBERT,11,70,8,0.518672,0.547556,0.518685
SBERT,11,85,10,0.518623,0.547216,0.518636
SBERT,11,100,12,0.518867,0.547944,0.518880
SBERT,11,115,14,0.518602,0.547204,0.518615
