epoch,AMI,ARI,NMI
25,0.22358116676013315,0.1551727027239894,0.22360747517671378
40,0.11794636298628533,0.03561598351136985,0.11798037528939534
55,0.22891146732856535,0.16261860474771875,0.2289375373395365
70,0.22888712890986893,0.16265562356271135,0.2289131954601725
85,0.2311662047100298,0.1655946376004805,0.23119217233159967
100,0.2311057029796372,0.16552415922377148,0.23113167318288136
115,0.23554617354102678,0.12087854061013532,0.23557371663026233
130,0.2307946557314322,0.1651513683891149,0.23082063892142474
145,0.23551928128529637,0.12081467572350264,0.23554682650441922
160,0.23535001718847157,0.12042980181697235,0.23537757581513744
175,0.22948361945184756,0.16333824007718695,0.22950966240825524
190,0.2317344781861519,0.16651933595477958,0.23176041725718352
205,0.3006620115979878,0.23184335340619108,0.30068335945204117
220,0.23194130504227592,0.16688033600864496,0.23196723285626505
235,0.23036277888328544,0.16457350426041253,0.23038878187012682
250,0.23053069491143643,0.16475875407207413,0.23055669154021566
265,0.23032716054071142,0.16456872614945525,0.23035316226848845
280,0.23540043443149344,0.12040353547180667,0.23542799257163124
295,0.2305234783400222,0.16478008668008307,0.23054947456417305
