epoch,AMI,ARI,NMI
25,0.5169879999999999,0.5453979999999998,0.5170000000000001
40,0.518527,0.548718,0.5185390000000002
55,0.518478,0.5486139999999999,0.51849
70,0.5171150000000001,0.5448129999999999,0.5171270000000001
85,0.5183460000000001,0.5476260000000001,0.5183590000000001
100,0.5170760000000001,0.5447620000000001,0.5170880000000001
115,0.5172090000000001,0.545528,0.517221
130,0.5184800000000002,0.5480970000000002,0.5184920000000001
145,0.5171469999999999,0.5452149999999999,0.5171590000000001
160,0.518255,0.5474769999999999,0.5182669999999999
175,0.517385,0.5475469999999999,0.517397
190,0.5182979999999998,0.5476169999999999,0.5183099999999999
205,0.5179980000000001,0.5469689999999999,0.5180100000000002
220,0.518225,0.5474250000000002,0.518237
235,0.518008,0.5469400000000001,0.518021
250,0.5184840000000001,0.548666,0.518496
265,0.518028,0.5470069999999999,0.51804
280,0.5178969999999999,0.546806,0.5179090000000002
295,0.5171720000000002,0.5448950000000001,0.5171840000000001
