feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
Doc2Vec,k-means,1,2,-8.056964416338308e-05,-7.861674988931089e-05,0.0003468574210801961,13.19775104522705
Doc2Vec,k-means,1,2,-8.056964416338308e-05,-7.861674988931089e-05,0.0003468574210801961,13.398639440536499
Doc2Vec,k-means,2,4,-0.00031017311696527244,-0.00028608438498934155,0.0001173387958490932,12.923240423202515
Doc2Vec,k-means,3,6,-7.485049873813311e-05,-6.883432677341173e-05,0.00035254725786046175,12.679210662841797
Doc2Vec,k-means,4,8,5.32104783142189e-05,4.886293655720826e-05,0.0004805383110478401,12.955732822418213
Doc2Vec,k-means,5,10,3.020517158328999e-05,2.729251776716382e-05,0.0004575709984868466,12.85317349433899
Doc2Vec,k-means,6,12,0.0004029555633791136,0.00038043196613897257,0.0008301529154783844,13.182923555374146
Doc2Vec,k-means,7,14,-7.493930308390813e-05,-6.213047823234357e-05,0.0003525088323918459,13.304572582244873
Doc2Vec,k-means,8,16,0.00030492087030550944,0.0002775811674920265,0.0007321533012484636,13.299498081207275
Doc2Vec,k-means,9,18,9.387938306720042e-05,8.625407240868031e-05,0.0005212452031142635,13.299656391143799
Doc2Vec,k-means,10,20,8.93520400232827e-05,8.878535026634427e-05,0.0005167481696580504,12.883212327957153
Doc2Vec,k-means,11,22,-0.00017084613587347772,-0.00015788054684870355,0.0002566098131286036,13.23665976524353
Doc2Vec,k-means,12,24,0.0002662523775244199,0.00023323536875517273,0.0006935533169621708,12.73480772972107
Doc2Vec,k-means,13,26,0.00028933757268313,0.00026705057944746393,0.0007165752849502613,13.146263122558594
Doc2Vec,k-means,14,28,-0.0001915931692401513,-0.00017793617883499942,0.00023601728128872952,13.232237100601196
Doc2Vec,k-means,15,30,0.00016676962258486774,0.00015863607793664184,0.0005940839532927418,13.206822156906128
Doc2Vec,k-means,16,32,0.0005296155564710572,0.0004777371822178789,0.0009567594700926495,13.272412538528442
Doc2Vec,k-means,17,34,-0.00011597018024206666,-0.00010613647959723954,0.0003114731636949339,13.388362407684326
Doc2Vec,k-means,18,36,-2.416251193109469e-05,-2.1439916865852324e-05,0.00040321965579163396,13.320552825927734
Doc2Vec,k-means,19,38,-0.00011373723844854387,-0.00010474021024429202,0.0003136883865317967,12.96670150756836
Doc2Vec,k-means,20,40,0.00048463697405403994,0.00043335058776272086,0.0009118348721266075,12.766617059707642
