feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
Bag of Words,NMF,8,16,0.12136197592753692,0.0986946484605689,0.12181024532090197,1678.530799627304
Bag of Words,NMF,9,18,0.1822575786258599,0.1866078126055925,0.1826364596486645,1701.794998407364
Bag of Words,NMF,10,20,0.1790535910350068,0.16840947754401206,0.17942718471085276,1685.5417218208313
Bag of Words,NMF,11,22,0.14948256585883318,0.15034795816676677,0.149870575847684,1686.0087139606476
Bag of Words,NMF,12,24,0.23124713611576705,0.23641490993611228,0.23159420485773538,1709.429165840149
Bag of Words,NMF,13,26,0.18297995546589757,0.18913839734397844,0.18334974014617472,1712.0439426898956
Bag of Words,NMF,14,28,0.16453305009409278,0.15988498109211458,0.1649420134662267,1733.2166442871094
Bag of Words,NMF,15,30,0.2398799912861451,0.25611790371856263,0.24022001923101668,1730.934229850769
Bag of Words,NMF,16,32,0.11532511367512308,0.10759497530474757,0.11575912889940657,1723.785931110382
Bag of Words,NMF,17,34,0.11857109211529163,0.11610486227805057,0.1189933431537977,1712.257848739624
Bag of Words,NMF,18,36,0.2233903091798344,0.23645829495933693,0.22373954364604512,1728.3647902011871
Bag of Words,NMF,19,38,0.12791591369791427,0.12418376983022732,0.1283423815593272,1725.4355902671814
Bag of Words,NMF,20,40,0.11747271487638015,0.09436342767143588,0.11792141670847785,1701.1884696483612
